time = 302602562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   277
time = 303683382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   278
time = 304764202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   279
time = 305845022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   280
time = 306925842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   281
time = 308006662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   282
time = 309087482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   283
time = 310168302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   284
time = 311249122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   285
time = 312329942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   286
time = 313410762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   287
time = 314491582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   288
time = 315572402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   289
time = 316653222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   290
time = 317734042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   291
time = 318814862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   292
time = 319895682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   293
time = 320976502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   294
time = 322057322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   295
time = 323138142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   296
time = 324218962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   297
time = 325299782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   298
time = 326380602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   299
time = 327461422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   300
time = 328542242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   301
time = 329623062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   302
time = 330703882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   303
time = 331784702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   304
time = 332865522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   305
time = 333946342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   306
time = 335027162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   307
time = 336107982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   308
time = 337188802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   309
time = 338269622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   310
time = 339350442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   311
time = 340431262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   312
time = 341512082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   313
time = 342592902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   314
time = 343673722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   315
time = 344754542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   316
time = 345835362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   317
time = 346916182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   318
time = 347997002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   319
time = 349077822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   320
time = 350158642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   321
time = 351239462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   322
time = 352320282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   323
time = 353401102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   324
time = 354481922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   325
time = 355562742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   326
time = 356643562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   327
time = 357724382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   328
time = 358805202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   329
time = 359886022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   330
time = 360966842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   331
time = 362047662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   332
time = 363128482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   333
time = 364209302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   334
time = 365290122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   335
time = 366370942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   336
time = 367451762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   337
