time = 231697962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   326
time = 232306462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   327
time = 232914962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   328
time = 233523462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   329
time = 234131962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   330
time = 234740462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   331
time = 235348962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   332
time = 235957462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   333
time = 236565962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   334
time = 237174462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   335
time = 237782962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   336
time = 238391462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   337
time = 238999962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   338
time = 239608462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   339
time = 240216962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   340
time = 240825462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   341
time = 241433962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   342
time = 242042462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   343
time = 242650962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   344
time = 243259462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   345
time = 243867962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   346
time = 244476462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   347
time = 245084962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   348
time = 245693462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   349
time = 246301962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   350
time = 246910462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   351
time = 247518962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   352
time = 248127462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   353
time = 248735962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   354
